id,proj_x,proj_y,willHelp,closeKnit,trust,solComProb,actNeighAs,relGroups
1,418362.7752,175662.3828,5,4,5,3,1,4
2,429913.8335,174170.6319,3,4,3,3,4,3
3,429345.4542,172026.4499,5,3,5,5,5,5
4,413519.2528,181661.6298,3,2,4,1,1,2
5,430517.2677,195191.7411,3,3,5,2,3,3
6,403298.3042,225183.4018,3,3,4,3,1,4
7,430599.1284,193907.517,5,5,5,5,5,1
8,441611.603,190877.3953,4,4,4,3,2,4
9,442005.8143,181299.1756,3,1,1,1,5,4
10,409407.377,164794.6491,5,3,3,2,3,4
11,437940.5763,191957.8625,2,2,2,1,3,4
12,475355.3424,210616.5367,5,5,5,5,5,3
13,427248.2176,160964.157,2,3,2,3,4,2
14,433525.1166,197108.1612,5,5,5,3,1,3
15,448872.065,152435.6526,4,3,5,3,5,3
16,468041.3634,222053.2908,4,4,4,1,1,4
17,454899.9567,188613.0359,5,5,5,5,4,5
18,411874.3438,182367.0767,5,5,5,5,5,5
19,435216.9146,189644.2189,5,5,4,5,5,4
20,433567.4398,185182.9141,5,4,4,5,4,4
21,426563.3261,187158.9399,4,4,5,4,5,4
22,454169.8709,210075.2753,5,5,5,5,5,5
23,437019.7689,185680.3516,5,5,3,5,5,5
24,440703.3914,179010.9045,5,3,4,4,4,1
25,441770.2094,144905.3199,4,3,4,4,5,3
26,409117.2061,222589.0421,4,2,2,2,2,4
27,424831.3654,163901.5227,3,3,3,2,4,1
29,439430.5026,189988.6261,5,5,5,4,4,1
30,458120.6694,207763.0134,4,5,3,4,4,4
31,431086.1161,197034.6064,5,5,5,5,5,5
32,444039.1678,141838.1294,4,3,4,4,4,3
33,443889.9817,143097.1315,3,3,3,2,1,1
34,426932.2704,183307.5267,4,4,3,4,5,3
35,442015.9547,176435.6896,4,3,4,3,5,5
37,438352.474,189433.1466,3,3,2,2,5,3
38,444104.9804,144862.9409,3,2,2,2,1,3
39,452532.927,210703.2806,5,4,4,4,4,5
40,433160.8988,173934.1841,1,5,3,5,5,5
41,426632.479,183824.0331,2,3,2,4,4,3
42,450877.9602,191052.1619,5,4,4,5,5,1
43,471383.9922,211816.6103,3,3,5,1,1,1
45,417376.3828,197933.8266,4,4,4,2,2,4
46,408748.318,211727.0804,5,5,5,5,1,1
47,416386.9337,178262.1201,5,5,5,3,2,3
48,431117.8466,161158.4427,4,2,4,3,4,1
49,449742.2281,189062.8168,3,1,3,1,3,1
